size,class,accuracy,miss,hallucinate
640,Breadboard,0.88,0.09,0.04
640,Button,0.73,0.23,0.04
640,Buzzer,0.57,0,0.03
640,Infared_Sensor,0.66,0.13,0.02
640,Keypad,0.97,0.03,0.01
640,LCD,0.85,0,0.02
640,LED,0.69,0.31,0.14
640,LED_Matrix,0.73,0.13,0
640,Number_LED,0.59,0.19,0.03
640,Photoresistor,0.97,0.02,0.03
640,Potentiometer,0.92,0.08,0.01
640,Remote,0.74,0.07,0.05
640,Resistor,0.92,0.04,0.04
640,Rheostat,0.86,0.07,0.05
640,Servo_Engine,0.8,0.2,0.07
640,Thermistor,0.44,0.44,0.09
640,Tool_Box,0.85,0,0.04
640,Tool_Box_Tray,0.6,0,0.05
640,UNO_R3,0.95,0.03,0.01
640,USB_Cable,0.67,0.26,0.09
640,Ultrasonic_Sensor,1,0,0.05
640,Wire,0.69,0.18,0.07
1280,Breadboard,0.84,0.16,0.13
1280,Button,0.67,0.3,0.03
1280,Buzzer,0.5,0.03,0.01
1280,Infared_Sensor,0.63,0.26,0
1280,Keypad,1,0,0.01
1280,LCD,0.82,0,0.03
1280,LED,0.66,0.34,0.06
1280,LED_Matrix,0.67,0.13,0
1280,Number_LED,0.44,0.27,0.02
1280,Photoresistor,0.91,0.05,0.01
1280,Potentiometer,0.89,0.05,0.01
1280,Remote,0.49,0.12,0.07
1280,Resistor,0.94,0.04,0.03
1280,Rheostat,0.77,0.19,0.02
1280,Servo_Engine,0.82,0.15,0.05
1280,Thermistor,0.41,0.47,0.04
1280,Tool_Box,0.35,0.5,0.07
1280,Tool_Box_Tray,0.4,0.4,0.11
1280,UNO_R3,0.92,0.08,0.03
1280,USB_Cable,0.59,0.3,0.08
1280,Ultrasonic_Sensor,0.73,0.17,0.08
1280,Wire,0.59,0.28,0.1
1536,Breadboard,0.53,0.44,0.22
1536,Button,0.7,0.27,0.02
1536,Buzzer,0.6,0,0.01
1536,Infared_Sensor,0.6,0.29,0.01
1536,Keypad,0.95,0.03,0.02
1536,LCD,0.85,0,0.02
1536,LED,0.65,0.32,0.04
1536,LED_Matrix,0.63,0.13,0.01
1536,Number_LED,0.4,0.3,0.01
1536,Photoresistor,0.88,0.05,0.01
1536,Potentiometer,0.86,0.08,0.01
1536,Remote,0.42,0.09,0.06
1536,Resistor,0.93,0.02,0.03
1536,Rheostat,0.65,0.26,0.03
1536,Servo_Engine,0.87,0.12,0.05
1536,Thermistor,0.53,0.44,0.04
1536,Tool_Box,0.05,0.75,0.07
1536,Tool_Box_Tray,0.35,0.65,0.07
1536,UNO_R3,0.92,0.03,0.03
1536,USB_Cable,0.41,0.44,0.07
1536,Ultrasonic_Sensor,0.5,0.5,0.04
1536,Wire,0.26,0.51,0.14
1920,Breadboard,0.19,0.81,0.29
1920,Button,0.73,0.2,0.04
1920,Buzzer,0.33,0.03,0.01
1920,Infared_Sensor,0.57,0.34,0
1920,Keypad,0.95,0.03,0.02
1920,LCD,0.91,0,0.04
1920,LED,0.6,0.35,0.03
1920,LED_Matrix,0.47,0.1,0.01
1920,Number_LED,0.32,0.34,0.01
1920,Photoresistor,0.72,0.14,0.01
1920,Potentiometer,0.7,0.14,0.01
1920,Remote,0.14,0.62,0.02
1920,Resistor,0.96,0.02,0.02
1920,Rheostat,0.7,0.21,0.02
1920,Servo_Engine,0.77,0.22,0.04
1920,Thermistor,0.44,0.5,0.02
1920,Tool_Box,0,1,0.05
1920,Tool_Box_Tray,0.25,0.75,0.05
1920,UNO_R3,0.64,0.1,0.06
1920,USB_Cable,0.33,0.56,0.07
1920,Ultrasonic_Sensor,0.4,0.57,0.08
1920,Wire,0.05,0.82,0.1
2560,Breadboard,0,1,0.41
2560,Button,0.63,0.33,0.05
2560,Buzzer,0.57,0,0.01
2560,Infared_Sensor,0.56,0.38,0
2560,Keypad,0.72,0.18,0.06
2560,LCD,0.82,0.06,0.04
2560,LED,0.45,0.52,0.01
2560,LED_Matrix,0.17,0.23,0
2560,Number_LED,0.26,0.27,0
2560,Photoresistor,0.38,0.4,0
2560,Potentiometer,0.54,0.16,0.01
2560,Remote,0.07,0.84,0
2560,Resistor,0.99,0.01,0.02
2560,Rheostat,0.74,0.26,0.01
2560,Servo_Engine,0.77,0.2,0.05
2560,Thermistor,0.26,0.59,0
2560,Tool_Box,0,1,0.01
2560,Tool_Box_Tray,0,1,0.02
2560,UNO_R3,0.41,0.38,0.09
2560,USB_Cable,0.04,0.93,0.05
2560,Ultrasonic_Sensor,0.4,0.57,0.13
2560,Wire,0,0.97,0.03
3008,Breadboard,0,1,0.43
3008,Button,0.6,0.37,0.07
3008,Buzzer,0.3,0.03,0.01
3008,Infared_Sensor,0.47,0.46,0
3008,Keypad,0.46,0.54,0.06
3008,LCD,0.32,0.53,0.04
3008,LED,0.31,0.66,0.01
3008,LED_Matrix,0.07,0.43,0
3008,Number_LED,0.15,0.36,0
3008,Photoresistor,0.19,0.5,0
3008,Potentiometer,0.46,0.32,0.02
3008,Remote,0.05,0.84,0
